Call type,Location,Dispatch time
SHOTS FIRED,1114 W 33RD ST,2022-04-13 22:50:38
UNKNOWN,6901 W 32ND ST,2022-04-13 22:45:16
BURGLAR ALARM,6 MABELVALE PLAZA LN,2022-04-13 22:38:41
BURGLAR ALARM,10710 INTERSTATE 30,2022-04-13 22:37:27
SUSPICIOUS PERSON,11401 MESA DR,2022-04-13 22:34:08
SUSPICIOUS PERSON,19301 CANTRELL RD,2022-04-13 22:27:39
SUSPICIOUS PERSON,8217 INTERSTATE 30,2022-04-13 22:26:37
DISTURBANCE JUST OCCURRED,4001 PINE CONE DR,2022-04-13 22:21:14
DISTURBANCE IN PROGRESS,3525 JOHN BARROW RD,2022-04-13 22:19:38
ACCIDENT INJURIES,3800 CANTRELL RD,2022-04-13 22:11:47
ASSIST MEDICAL,13109 PLEASANT FOREST DR,2022-04-13 22:02:46
SUSPICIOUS PERSON,25 SHERATON DR,2022-04-13 21:59:52
SHOTS FIRED,118 GISELLE DR,2022-04-13 21:56:22
BURGLAR ALARM,4001 PRATT REMMEL RD,2022-04-13 21:55:02
BURGLARY IN PROGRESS PREMISES OCCUPIED,1612 GREEN MEADOW DR,2022-04-13 21:50:41
BATTERY JUST OCCURRED,26 CARROLL CIR,2022-04-13 21:50:29
BURGLAR ALARM,4748 SPRINGER BLVD,2022-04-13 21:45:40
DISTURBANCE IN PROGRESS,10800 KANIS RD,2022-04-13 21:44:39
SHOOTING JUST OCCURRED,2609 S BATTERY ST,2022-04-13 21:30:18
DISTURBANCE IN PROGRESS,9500 S HEIGHTS RD,2022-04-13 21:29:05
SUSPICIOUS PERSON,W 29TH ST / S ARCH ST,2022-04-13 21:23:58
INDECENT EXPOSURE,8700 N RODNEY PARHAM RD,2022-04-13 21:22:59
DISTURBANCE IN PROGRESS,10724 W MARKHAM ST,2022-04-13 21:19:59
CHECK CONDITION OF SUBJECT,15108 KANIS RD,2022-04-13 21:14:12
RESIDENTIAL ALARM,6 WINDRUSH PT,2022-04-13 21:11:51
ACCIDENT,ALIZA DR / ALEXANDER RD,2022-04-13 21:09:02
BURGLAR ALARM,17711 CHENAL PKY,2022-04-13 21:03:12
ROBBERY ALARM,716 E 9TH ST,2022-04-13 21:01:58
RESIDENTIAL ALARM,21 COBBLESTONE CREEK CT,2022-04-13 20:57:50
UNKNOWN,1623 W 23RD ST,2022-04-13 20:51:27
STANDBY TO PREVENT DISTURBANCE,2401 W 65TH ST,2022-04-13 20:46:03
DISTURBANCE WITH WEAPON IN PROGRESS,5201 GEYER SPRINGS RD,2022-04-13 20:43:19
BATTERY,9601 BAPTIST HEALTH DR,2022-04-13 20:39:56
DISTURBANCE IN PROGRESS,17 STONEBRIDGE CIR,2022-04-13 20:37:42
CARAVAN,14216 CANTRELL RD,2022-04-13 20:37:15
ROBBERY OF INDIVIDUAL JUST OCCURRED,W 18TH ST / S PARK ST,2022-04-13 20:28:12
BATTERY JUST OCCURRED,7201 N ST,2022-04-13 20:26:33
ACCIDENT,5609 BASELINE RD,2022-04-13 20:22:06
BURGLAR ALARM,401 W CAPITOL AVE,2022-04-13 20:21:20
UNKNOWN,6310 COLONEL GLENN RD,2022-04-13 20:14:37
PARKING VIOLATION,CANTRELL RD / N HARRISON ST,2022-04-13 20:12:16
CHECK CONDITION OF SUBJECT,6100 S UNIVERSITY AVE,2022-04-13 20:08:03
TRAFFIC STOP,1100 E ROOSEVELT RD,2022-04-13 20:01:06
CHECK CONDITION OF SUBJECT,6900 CAMELOT DR,2022-04-13 19:54:34
SUSPICIOUS PERSON,KAVANAUGH BLVD / W MARKHAM ST,2022-04-13 19:48:54
CHECK CONDITION OF SUBJECT,9 ROSEWALL LN,2022-04-13 19:46:18
ASSIST MEDICAL,5301 ASHER AVE,2022-04-13 19:43:13
THEFT JUST OCCURRED,7515 GEYER SPRINGS RD,2022-04-13 19:33:50
DEATH,8700 RILEY DR,2022-04-13 19:23:51
BATTERY JUST OCCURRED,5701 DREHER LN,2022-04-13 19:07:35
DEATH,1 CHENAL HEIGHTS DR,2022-04-13 18:59:56
DISTURBANCE IN PROGRESS,5300 BASELINE RD,2022-04-13 18:51:24
ADMINISTRATIVE,3201 W ROOSEVELT RD,2022-04-13 18:50:08
INFORMATION REPORT,6701 INTERSTATE 30,2022-04-13 18:49:42
DISTURBANCE IN PROGRESS,21 ARDMORE DR,2022-04-13 18:49:36
DISTURBANCE IN PROGRESS,8800 BASELINE RD,2022-04-13 18:45:46
PROPERTY CHECK,2407 W 12TH ST,2022-04-13 18:45:07
CHECK CONDITION OF SUBJECT,INTERSTATE 630 / S SHACKLEFORD RD,2022-04-13 18:42:23
DISTURBANCE IN PROGRESS,302 E ROOSEVELT RD,2022-04-13 18:38:22
VEHICLE DWOC,3612 BASELINE RD,2022-04-13 18:31:53
ACCIDENT,BASELINE RD / GEYER SPRINGS RD,2022-04-13 18:28:03
CRIMINAL MISCHIEF JUST OCCURRED,8223 SCOTT HAMILTON DR,2022-04-13 18:26:50
ANIMAL VICIOUS ANIMAL,3 CONIFER PL,2022-04-13 18:16:20
ASSIST MEDICAL,7905 FOXCHASE RD,2022-04-13 18:12:54
BURGLAR ALARM,6601 INTERSTATE 30,2022-04-13 18:09:35
POLICE - SUBJECT DOWN,APPROX LOC:1912 GREEN MOUNTAIN DR,2022-04-13 18:04:21
STANDBY TO PREVENT DISTURBANCE,304 S UNIVERSITY AVE,2022-04-13 18:00:50
BURGLARY IN PROGRESS,10509 DIAMOND DR,2022-04-13 17:58:09
BURGLAR ALARM,500 PRESIDENT CLINTON AVE,2022-04-13 17:57:47
ACCIDENT,W 19TH ST / S PIERCE ST,2022-04-13 17:48:47
DISTURBANCE IN PROGRESS,1601 MAIN ST,2022-04-13 17:47:38
UNKNOWN,9101 AUXOR RD,2022-04-13 17:46:59
ROBBERY ALARM,7507 CANTRELL RD,2022-04-13 17:46:07
SUSPICIOUS PERSON,11800 PLEASANT RIDGE RD,2022-04-13 17:41:04
DISTURBANCE IN PROGRESS,1205 S UNIVERSITY AVE,2022-04-13 17:39:35
DISTURBANCE IN PROGRESS,9525 INTERSTATE 30,2022-04-13 17:37:57
PROPERTY CHECK,9804 N RODNEY PARHAM RD,2022-04-13 17:37:37
DISTURBANCE IN PROGRESS,5300 BASELINE RD,2022-04-13 17:36:10
SUSPICIOUS PERSON,102 MARKHAM PARK DR,2022-04-13 17:35:32
DISTURBANCE JUST OCCURRED,5300 ASHER AVE,2022-04-13 17:30:09
PRISONER TRANSPORT,3300 THEATRE DR- NEWPORT AR,2022-04-13 17:28:02
BURGLARY,23 AUGUSTA CT,2022-04-13 17:26:13
ROBBERY ALARM,5017 S UNIVERSITY AVE,2022-04-13 17:25:19
RESIDENTIAL ALARM,78 FALSTONE DR,2022-04-13 17:22:39
CHECK CONDITION OF SUBJECT,6310 COLONEL GLENN RD,2022-04-13 17:21:29
LOUD MUSIC,7515 GEYER SPRINGS RD,2022-04-13 17:19:16
NARCOTICS LAW VIOLATIONS,107 E MARKHAM ST,2022-04-13 17:18:28
ACCIDENT,7200 COLONEL GLENN RD,2022-04-13 17:17:04
UNKNOWN,9101 AUXOR RD,2022-04-13 17:12:47
ACCIDENT,KANIS RD / S SHACKLEFORD RD,2022-04-13 17:06:10
BURGLARY IN PROGRESS,302 BROOKSIDE DR,2022-04-13 17:04:14
ACCIDENT INJURIES,W 65TH ST / GEYER SPRINGS RD,2022-04-13 17:03:11
ACCIDENT,11464 DAVID O DODD RD,2022-04-13 17:00:49
THEFT JUST OCCURRED,12801 CHENAL PKY,2022-04-13 16:57:37
ASSIST MEDICAL,KAVANAUGH BLVD / CRESTWOOD DR,2022-04-13 16:54:23
UNKNOWN,5200 W 65TH ST,2022-04-13 16:53:37
DISTURBANCE IN PROGRESS,1817 S UNIVERSITY AVE,2022-04-13 16:49:11
DISTURBANCE JUST OCCURRED,3600 SPRINGER BLVD,2022-04-13 16:44:16
ROBBERY OF INDIVIDUAL JUST OCCURRED,49 WARWICK RD,2022-04-13 16:42:34
