Call type,Location,Dispatch time
DISTURBANCE IN PROGRESS,15200 CHENAL PKY,2022-05-16 23:58:33
BATTERY WITH WEAPON,6100 MITCHELL DR,2022-05-16 23:58:14
SUSPICIOUS PERSON,2501 ALDERSGATE RD,2022-05-16 23:51:25
SHOTS FIRED,1500 S JACKSON ST,2022-05-16 23:47:17
ACCIDENT,CHENAL PKY / CHENONCEAU BLVD,2022-05-16 23:46:15
DISTURBANCE IN PROGRESS,7 SOMERTON CIR,2022-05-16 23:45:34
CHECK CONDITION OF SUBJECT,1812 RESERVOIR RD,2022-05-16 23:44:26
POLICE - SUBJECT DOWN,W MARKHAM ST / N SHACKLEFORD RD,2022-05-16 23:43:27
CHECK CONDITION OF SUBJECT,12224 CHICOT RD,2022-05-16 23:41:06
RESIDENTIAL ALARM,6100 LEON CIR,2022-05-16 23:40:46
DISTURBANCE WITH WEAPON IN PROGRESS,2508 S HARRISON ST,2022-05-16 23:38:02
CHECK CONDITION OF SUBJECT,5001 W 65TH ST,2022-05-16 22:31:01
POLICE - SUBJECT DOWN,515 E 21ST ST,2022-05-16 22:30:07
POLICE - SUSPICIOUS PACKAGE,1400 GAMBLE RD,2022-05-16 22:27:13
ASSIST OTHER AGENCY,W 12TH ST / PEYTON ST,2022-05-16 22:24:58
LOUD MUSIC,1805 S ARCH ST,2022-05-16 22:24:25
SUSPICIOUS PERSON,3 STATEHOUSE PLZ,2022-05-16 22:23:20
STANDBY TO PREVENT DISTURBANCE,3411 ASHER AVE,2022-05-16 22:18:21
SUSPICIOUS PERSON,311 E 8TH ST,2022-05-16 22:17:10
DISTURBANCE IN PROGRESS,11501 FINANCIAL CENTRE PKY,2022-05-16 22:16:12
DISTURBANCE JUST OCCURRED,8524 BUNCH RD,2022-05-16 22:11:17
DISTURBANCE JUST OCCURRED,2124 LABETTE MANOR DR,2022-05-16 22:05:35
SUSPICIOUS PERSON,6503 PECAN AVE,2022-05-16 22:04:03
DWI,700 N CEDAR ST,2022-05-16 21:56:30
TOW,10001 KANIS RD,2022-05-16 21:56:02
DISTURBANCE IN PROGRESS,12607 MATTHEW LN,2022-05-16 21:55:16
DISTURBANCE WITH WEAPON IN PROGRESS,2123 LABETTE MANOR DR,2022-05-16 21:52:52
BURGLAR ALARM,9101 W MARKHAM ST,2022-05-16 21:50:49
ASSIST MEDICAL,4216 S BOWMAN RD,2022-05-16 21:49:40
UNKNOWN,716 E 9TH ST,2022-05-16 21:47:35
DISTURBANCE IN PROGRESS,1400 JOHN BARROW RD,2022-05-16 21:36:46
BREAKING OR ENTERING AUTO,1021 JESSIE RD,2022-05-16 21:28:11
DISTURBANCE IN PROGRESS,8828 TALIAFERRO ST,2022-05-16 21:23:42
DISTURBANCE IN PROGRESS,9300 TREASURE HILL RD,2022-05-16 21:21:19
ACCIDENT INJURIES,KANIS RD / JOHN BARROW RD,2022-05-16 21:20:02
DISTURBANCE IN PROGRESS,3201 W ROOSEVELT RD,2022-05-16 21:15:49
BURGLARY,6500 STAGECOACH RD,2022-05-16 21:11:18
ADMINISTRATIVE,3201 W ROOSEVELT RD,2022-05-16 21:10:11
DISTURBANCE IN PROGRESS,1516 CUMBERLAND ST,2022-05-16 21:04:09
PROPERTY CHECK,4319 W 13TH ST,2022-05-16 21:01:32
BREAKING OR ENTERING AUTO JUST OCCURRED,5900 REBSAMEN PARK RD,2022-05-16 20:56:53
PROPERTY CHECK,W 26TH ST / S HARRISON ST,2022-05-16 20:47:49
UNKNOWN,APPROX LOC:11500 CHICOT RD,2022-05-16 20:43:08
SHOTS FIRED,1500 S JACKSON ST,2022-05-16 20:41:18
UNKNOWN,9500 S HEIGHTS RD,2022-05-16 20:39:41
ASSIST MEDICAL,5813 BASELINE RD,2022-05-16 20:38:24
DISTURBANCE IN PROGRESS,607 SHAMROCK DR,2022-05-16 20:37:53
UNKNOWN,5813 BASELINE RD,2022-05-16 20:36:45
BATTERY JUST OCCURRED,2426 W 13TH ST,2022-05-16 20:35:31
TRAFFIC STOP,MARA LYNN RD / BEVERLY HILLS DR,2022-05-16 20:29:36
SHOTS FIRED,9300 MABELVALE CTF,2022-05-16 20:28:58
BATTERY JUST OCCURRED,6815 FORBING RD,2022-05-16 20:27:17
SHOTS FIRED,1500 S JACKSON ST,2022-05-16 20:25:24
BATTERY,8610 CROFTON CIR,2022-05-16 20:20:28
DISTURBANCE IN PROGRESS,13720 EAGLE HAWK DR,2022-05-16 20:19:15
DISTURBANCE IN PROGRESS,W 65TH ST / LANCASTER RD,2022-05-16 20:15:41
SHOTS FIRED,RESERVOIR RD / NORTHEDGE RD,2022-05-16 20:13:06
ACCIDENT,425 PRESIDENT CLINTON AVE,2022-05-16 20:08:44
DISTURBANCE JUST OCCURRED,10434 W 36TH ST,2022-05-16 20:06:41
ROBBERY OF INDIVIDUAL JUST OCCURRED,32 BROOKVIEW DR,2022-05-16 20:05:18
SUSPICIOUS PERSON,W 32ND ST / S STATE ST,2022-05-16 20:04:11
DISTURBANCE JUST OCCURRED,414 BURNSIDE DR,2022-05-16 20:01:39
UNKNOWN,11902 CHICOT RD,2022-05-16 19:56:33
FIGHT,1909 LABETTE MANOR DR,2022-05-16 19:54:53
LOITERING,6828 COLONEL GLENN RD,2022-05-16 19:53:22
SUSPICIOUS PERSON,4319 W 13TH ST,2022-05-16 19:52:44
TERRORISTIC THREATENING,4 OLYMPIA CT,2022-05-16 19:47:08
BATTERY JUST OCCURRED,11401 CANTRELL RD,2022-05-16 19:44:25
DISTURBANCE IN PROGRESS,4804 TERRA VISTA CIR,2022-05-16 19:41:52
BATTERY JUST OCCURRED,4 BERKSHIRE DR,2022-05-16 19:40:13
ACCIDENT HIT and RUN,W CHARLES BUSSEY AVE / WASHINGTON ST,2022-05-16 19:35:45
STANDBY TO PREVENT DISTURBANCE,7111 INDIANA AVE,2022-05-16 19:32:41
THEFT JUST OCCURRED,8921 FOURCHE DAM PIKE,2022-05-16 19:31:20
BATTERY JUST OCCURRED,1901 W 19TH ST,2022-05-16 19:29:19
DISTURBANCE IN PROGRESS,6320 BUTLER RD,2022-05-16 19:27:19
DISTURBANCE IN PROGRESS,9 ROSEMOOR DR,2022-05-16 19:26:22
UNKNOWN,11500 CHICOT RD,2022-05-16 19:22:30
CHECK CONDITION OF SUBJECT,W 36TH ST / JOHN BARROW RD,2022-05-16 19:20:52
ACCIDENT HIT and RUN,7601 N CHICOT RD,2022-05-16 19:20:13
FOUND PROPERTY,13700 CANTRELL RD,2022-05-16 19:15:39
BURGLARY,6838 CANTRELL RD,2022-05-16 19:14:12
ASSIST MEDICAL,W 19TH ST / S BUCHANAN ST,2022-05-16 19:12:11
SUSPICIOUS PERSON,1300 BROADWAY ST,2022-05-16 19:11:09
DISTURBANCE IN PROGRESS,6503 PECAN AVE,2022-05-16 19:06:49
FIGHT,5813 BASELINE RD,2022-05-16 19:05:50
