Call type,Location,Dispatch time
VEHICLE ABANDONED VEHICLE,5 BRICKTON PL,2022-05-13 09:03:54
BATTERY,1 CHILDRENS WAY,2022-05-13 09:00:31
ACCIDENT INJURIES,CANTRELL RD / PLEASANT RIDGE RD,2022-05-13 08:57:35
VEHICLE SUSPICIOUS VEHICLE,2125 MCALMONT ST,2022-05-13 08:56:41
VEHICLE ABANDONED VEHICLE,918 GREEN MOUNTAIN DR,2022-05-13 08:53:27
BURGLAR ALARM,10700 N RODNEY PARHAM RD,2022-05-13 08:53:25
FIGHT IN PROGRESS,4015 STANNUS ST,2022-05-13 08:45:30
BURGLAR ALARM,8026 CANTRELL RD,2022-05-13 08:44:19
CHECK CONDITION OF SUBJECT,8618 DOYLE SPRINGS RD,2022-05-13 08:41:43
LOITERING,401 S BOWMAN RD,2022-05-13 08:40:49
VEHICLE STALLED VEHICLE,925 S UNIVERSITY AVE,2022-05-13 08:39:51
CHECK CONDITION OF SUBJECT,11700 INTERSTATE 30,2022-05-13 08:34:51
BATTERY IN PROGRESS,OAK LN / W MARKHAM ST,2022-05-13 08:34:16
INFORMATION REPORT,CANTRELL RD / CHENAL PKY,2022-05-13 08:33:36
RESIDENTIAL ALARM,2 DEERBERRY FOREST CIR,2022-05-13 08:30:29
CHECK CONDITION OF SUBJECT,9525 INTERSTATE 30,2022-05-13 08:26:24
DISTURBANCE IN PROGRESS,701 S PULASKI ST,2022-05-13 08:25:13
CHECK CONDITION OF SUBJECT,W MARKHAM ST / JOHN BARROW RD,2022-05-13 08:20:26
SUSPICIOUS PERSON,4305 W 12TH ST,2022-05-13 08:18:24
UNKNOWN,100 RIVER MARKET AVE,2022-05-13 08:14:28
BURGLAR ALARM,3012 DR MARTIN LUTHER KING DR,2022-05-13 08:12:26
POLICE - SUBJECT DOWN,100 BROWN ST,2022-05-13 08:07:48
BURGLAR ALARM,10700 N RODNEY PARHAM RD,2022-05-13 08:04:14
VEHICLE STALLED VEHICLE,CHICOT RD / BASELINE RD,2022-05-13 08:03:17
VEHICLE SUSPICIOUS VEHICLE,9811 RECK RD,2022-05-13 08:02:19
ACCIDENT HIT and RUN,116 COLONIAL CT,2022-05-13 07:58:41
ACCIDENT,1020 S UNIVERSITY AVE,2022-05-13 07:57:54
ACCIDENT,14411 TAYLOR LOOP RD,2022-05-13 07:50:13
CHECK CONDITION OF SUBJECT,901 E 8TH ST,2022-05-13 07:49:31
ACCIDENT,YOUNG RD / GEYER SPRINGS RD,2022-05-13 07:46:22
STANDBY TO PREVENT DISTURBANCE,11121 LEGION HUT RD,2022-05-13 07:45:36
VEHICLE DWOC,1 AIRPORT RD,2022-05-13 07:36:27
DISTURBANCE IN PROGRESS,BASELINE RD / VICTORIA DR,2022-05-13 07:34:54
ACCIDENT,JONES ST / BANKHEAD DR,2022-05-13 07:29:53
NARCOTICS LAW VIOLATIONS,6100 S UNIVERSITY AVE,2022-05-13 07:23:27
SUSPICIOUS PERSON,12733 RIVERCREST DR,2022-05-13 07:22:22
THEFT,9624 TREASURE HILL RD,2022-05-13 07:17:54
BURGLARY,11420 BASS PRO PKY,2022-05-13 07:05:56
BURGLARY,4800 W 10TH ST,2022-05-13 07:01:40
STANDBY TO PREVENT DISTURBANCE,3701 BOYD ST,2022-05-13 06:58:11
ADMINISTRATIVE,1812 RESERVOIR RD,2022-05-13 06:56:55
RESIDENTIAL ALARM,3715 DORAL DR,2022-05-13 06:39:51
CRIMINAL TRESPASS IN PROGRESS,800 BROADWAY ST,2022-05-13 06:35:14
BURGLAR ALARM,9112 N RODNEY PARHAM RD,2022-05-13 06:22:16
BREAKING OR ENTERING AUTO JUST OCCURRED,5001 W 65TH ST,2022-05-13 06:12:21
SUSPICIOUS PERSON,1910 S JACKSON ST,2022-05-13 06:11:46
BURGLAR ALARM,601 N UNIVERSITY AVE,2022-05-13 05:59:54
UNKNOWN,1010 BRECKENRIDGE DR,2022-05-13 05:56:48
SUSPICIOUS PERSON,8220 GEYER SPRINGS RD,2022-05-13 05:33:13
BURGLAR ALARM,6201 W MARKHAM ST,2022-05-13 05:24:23
BREAKING OR ENTERING AUTO,11 CROSSINGS CT,2022-05-13 05:23:17
ROBBERY OF INDIVIDUAL,FAIR PARK BLVD / W 12TH ST,2022-05-13 05:16:49
SUSPICIOUS PERSON,12661 SOUTHRIDGE DR,2022-05-13 05:13:00
SHOTS FIRED,1500 S JACKSON ST,2022-05-13 05:08:45
BURGLAR ALARM,11525 CANTRELL RD,2022-05-13 04:57:05
RESIDENTIAL ALARM,12 WALDRON CIR,2022-05-13 04:56:06
BURGLAR ALARM,4418 S UNIVERSITY AVE,2022-05-13 04:54:48
TRAFFIC STOP,W CHARLES BUSSEY AVE / S PINE ST,2022-05-13 04:45:57
DISTURBANCE IN PROGRESS,1800 S JACKSON ST,2022-05-13 04:32:39
BURGLARY IN PROGRESS,124 BARTON ST,2022-05-13 04:23:58
PROPERTY CHECK,10011 INTERSTATE 30,2022-05-13 04:14:46
CHECK CONDITION OF SUBJECT,4024 W MARKHAM ST,2022-05-13 04:04:39
SUSPICIOUS PERSON,7515 GEYER SPRINGS RD,2022-05-13 03:57:07
DISTURBANCE IN PROGRESS,2124 LABETTE MANOR DR,2022-05-13 03:53:59
ASSIST MEDICAL,E 9TH ST / SHERMAN ST,2022-05-13 03:33:54
DWI,515 W 6TH ST,2022-05-13 03:20:58
SUSPICIOUS PERSON,2100 REBSAMEN PARK RD,2022-05-13 03:17:00
DISTURBANCE IN PROGRESS,3701 BOYD ST,2022-05-13 02:53:24
BURGLAR ALARM,1805 E 23RD ST,2022-05-13 02:34:06
DISTURBANCE IN PROGRESS,W 32ND ST / S ARCH ST,2022-05-13 02:32:05
RESIDENTIAL ALARM,1400 S SPRING ST,2022-05-13 02:31:02
ACCIDENT HIT and RUN,1321 MAIN ST,2022-05-13 02:29:26
BURGLAR ALARM,2624 S SHACKLEFORD RD,2022-05-13 02:27:25
TRAFFIC STOP,1700 S BATTERY ST,2022-05-13 02:26:18
SUBJECT STOP,9300 MABELVALE CTF,2022-05-13 02:23:50
TRAFFIC STOP,N PIERCE ST / N COUNTRY CLUB BLVD,2022-05-13 02:15:37
TRAFFIC STOP,KANIS RD / JOHN BARROW RD,2022-05-13 02:14:25
CHECK CONDITION OF SUBJECT,SHERMAN ST / E 3RD ST,2022-05-13 02:02:09
TRAFFIC STOP,W 36TH ST / JOHN BARROW RD,2022-05-13 01:57:18
TRAFFIC STOP,3600 KATHERINE ST,2022-05-13 01:48:23
DISTURBANCE IN PROGRESS,8818 KANIS RD,2022-05-13 01:38:43
DISTURBANCE IN PROGRESS,1121 W 35TH ST,2022-05-13 01:34:19
STANDBY TO PREVENT DISTURBANCE,2415 BROADWAY ST,2022-05-13 01:29:10
VEHICLE STOLEN VEHICLE,13111 W MARKHAM ST,2022-05-13 01:24:15
TRAFFIC STOP,BASELINE RD / STAGECOACH RD,2022-05-13 01:23:29
PROPERTY CHECK,1424 DR MARTIN LUTHER KING DR,2022-05-13 01:20:41
SUSPICIOUS PERSON,7515 GEYER SPRINGS RD,2022-05-13 01:19:14
TRAFFIC STOP,4323 W 21ST ST,2022-05-13 01:17:14
POLICE - SUBJECT DOWN,104 S UNIVERSITY AVE,2022-05-13 01:12:56
BURGLAR ALARM,1805 E 23RD ST,2022-05-13 01:11:23
SUBJECT STOP,ASHER AVE / S UNIVERSITY AVE,2022-05-13 01:10:23
TRAFFIC STOP,2900 S MONROE ST,2022-05-13 01:06:17
CUTTING JUST OCCURRED,5300 W 10TH ST,2022-05-13 01:00:00
SUSPICIOUS PERSON,1700 N SHACKLEFORD RD,2022-05-13 00:56:25
TRAFFIC STOP,W CHARLES BUSSEY AVE / ABIGAIL ST,2022-05-13 00:55:39
TRAFFIC STOP,FORBING RD / S UNIVERSITY AVE,2022-05-13 00:49:50
TRAFFIC STOP,2100 S MONROE ST,2022-05-13 00:46:22
BATTERY,2 SAINT VINCENT CIR,2022-05-13 00:42:24
DISTURBANCE IN PROGRESS,4305 W 12TH ST,2022-05-13 00:32:30
TRAFFIC STOP,1401 DR MARTIN LUTHER KING DR,2022-05-13 00:30:59
DISTURBANCE IN PROGRESS,925 S UNIVERSITY AVE,2022-05-13 00:27:37
