Call type,Location,Dispatch time
VEHICLE ABANDONED VEHICLE,2116 CUMBERLAND ST,2022-04-14 16:27:03
DISTURBANCE IN PROGRESS,5001 W 65TH ST,2022-04-14 16:25:53
BREAKING OR ENTERING AUTO JUST OCCURRED,6416 THE DIVIDE PKWY,2022-04-14 16:24:32
RESIDENTIAL ALARM,8 MONTAGNE CT,2022-04-14 16:21:27
PRISONER TRANSPORT,3917 W 12TH ST,2022-04-14 16:20:19
DISTURBANCE IN PROGRESS,1101 BROADWAY ST,2022-04-14 16:18:53
POLICE - SUBJECT DOWN,7924 THOMPSON RD,2022-04-14 16:16:36
ACCIDENT,921 RUSHING CIR,2022-04-14 16:15:52
DISTURBANCE IN PROGRESS,8824 GEYER SPRINGS RD,2022-04-14 16:06:17
GAMBLING LAW VIOLATIONS,9101 W MARKHAM ST,2022-04-14 16:05:13
ACCIDENT HIT and RUN,9100 N RODNEY PARHAM RD,2022-04-14 15:59:37
LOITERING,2608 MAPLE ST,2022-04-14 15:58:37
SUSPICIOUS PERSON,JOHNSON RD / HEINKE RD,2022-04-14 15:55:50
ACCIDENT W/INJURY and ENTRAPMENT,3200 S SHACKLEFORD RD,2022-04-14 15:55:14
BURGLAR ALARM,5700 PATTERSON RD,2022-04-14 15:54:00
ACCIDENT,LEE AVE / N CEDAR ST,2022-04-14 15:51:09
SUSPICIOUS PERSON,1304 CUMBERLAND ST,2022-04-14 15:47:06
VEHICLE ABANDONED VEHICLE,2409 LEHIGH DR,2022-04-14 15:43:54
ACCIDENT,CANTRELL RD / PLEASANT RIDGE RD,2022-04-14 15:41:07
VEHICLE ABANDONED VEHICLE,144 TAYLOR PARK BLVD,2022-04-14 15:36:46
DISTURBANCE IN PROGRESS,300 N CEDAR ST,2022-04-14 15:33:27
ACCIDENT HIT and RUN,TAYLOR LOOP RD / CANTRELL RD,2022-04-14 15:32:49
DISTURBANCE JUST OCCURRED,4600 W 12TH ST,2022-04-14 15:31:06
ACCIDENT HIT and RUN,W 26TH ST / S ARCH ST,2022-04-14 15:30:43
ACCIDENT,1 LENON PL,2022-04-14 15:29:47
ACCIDENT HIT and RUN,6316 COLONEL GLENN RD,2022-04-14 15:29:35
PARKING VIOLATION,6310 COLONEL GLENN RD,2022-04-14 15:29:24
RESIDENTIAL ALARM,324 N RIDGE RD,2022-04-14 15:27:07
VEHICLE ABANDONED VEHICLE,HANGER ST / E 14TH ST,2022-04-14 15:26:58
DISTURBANCE IN PROGRESS,10300 MABELVALE WEST RD,2022-04-14 15:24:47
DISTURBANCE IN PROGRESS,5301 ASHER AVE,2022-04-14 15:24:20
CHECK CONDITION OF SUBJECT,815 TECHNOLOGY DR,2022-04-14 15:23:56
ACCIDENT,CANTRELL RD / NORMANDY RD,2022-04-14 15:23:39
PRISONER TRANSPORT,3917 W 12TH ST,2022-04-14 15:22:32
RESIDENTIAL ALARM,215 N MONROE ST,2022-04-14 15:21:41
RESIDENTIAL ALARM,7104 RICHWOOD RD,2022-04-14 15:20:25
ACCIDENT,INTERSTATE 630 / S UNIVERSITY AVE,2022-04-14 15:19:25
DISTURBANCE IN PROGRESS,9715 MABELVALE PIKE,2022-04-14 15:16:55
CRIMINAL TRESPASS IN PROGRESS,917 BROADWAY ST,2022-04-14 15:15:05
DISTURBANCE IN PROGRESS,3600 SPRINGER BLVD,2022-04-14 15:14:13
BURGLAR ALARM,1708 N FILLMORE ST,2022-04-14 15:13:38
DISTURBANCE IN PROGRESS,3315 WYNNE ST,2022-04-14 15:10:42
DISTURBANCE IN PROGRESS,11611 CANTRELL RD,2022-04-14 15:09:11
BURGLAR ALARM,401 MAIN ST,2022-04-14 15:08:45
STANDBY TO PREVENT DISTURBANCE,800 BROADWAY ST,2022-04-14 15:07:41
TRAFFIC VIOLATION,1400 S PULASKI ST,2022-04-14 15:07:18
BATTERY IN PROGRESS,2700 S SHACKLEFORD RD,2022-04-14 15:01:19
PRISONER TRANSPORT,511 APLIN AVE,2022-04-14 14:49:18
THEFT JUST OCCURRED,11201 BASS PRO PKY,2022-04-14 14:28:11
BATTERY IN PROGRESS,34 NANDINA CIR,2022-04-14 14:24:42
PRISONER TRANSPORT,1401 MAIN ST,2022-04-14 14:23:31
CHECK CONDITION OF SUBJECT,900 S BOWMAN RD,2022-04-14 14:13:03
RESIDENTIAL ALARM,1405 ANDOVER RDG,2022-04-14 14:12:46
ACCIDENT INJURIES,7003 CANTRELL RD,2022-04-14 14:11:14
ASSIST MEDICAL,3200 BANKHEAD DR,2022-04-14 14:10:17
RESIDENTIAL ALARM,1000 ASBURY RD,2022-04-14 14:07:23
BREAKING OR ENTERING AUTO JUST OCCURRED,20919 DENNY RD,2022-04-14 14:06:55
ACCIDENT,W CAPITOL AVE / S SPRING ST,2022-04-14 14:05:32
ROBBERY OF INDIVIDUAL,707 INTERSTATE 30,2022-04-14 14:04:59
DISTURBANCE IN PROGRESS,2401 W 65TH ST,2022-04-14 14:00:57
TRAFFIC VIOLATION,E 3RD ST / MAIN ST,2022-04-14 14:00:11
CHECK CONDITION OF SUBJECT,17 LAMONT DR,2022-04-14 13:48:22
RESIDENTIAL ALARM,7804 NOLEN DR,2022-04-14 13:46:39
ASSIST MEDICAL,801 E ROOSEVELT RD,2022-04-14 13:40:42
VEHICLE SUSPICIOUS VEHICLE,4611 W 29TH ST,2022-04-14 13:39:49
DISTURBANCE IN PROGRESS,13200 CHENAL PKY,2022-04-14 13:37:33
ACCIDENT,800 S SHACKLEFORD RD,2022-04-14 13:36:26
DISTURBANCE IN PROGRESS,721 E 9TH ST,2022-04-14 13:35:35
