Call type,Location,Dispatch time
LOUD PARTY,1516 DORADO BEACH DR,2022-04-15 23:29:43
RESIDENTIAL ALARM,4408 JOHN BARROW RD,2022-04-15 23:27:38
ACCIDENT,11414 W MARKHAM ST,2022-04-15 23:15:52
SHOTS FIRED,7820 W CAPITOL AVE,2022-04-15 23:14:35
SHOTS FIRED,718 S MISSISSIPPI ST,2022-04-15 23:14:19
DISTURBANCE IN PROGRESS,701 GREEN MOUNTAIN DR,2022-04-15 23:14:04
SHOTS FIRED,OHIO ST / GEORGIA AVE,2022-04-15 23:13:29
SUSPICIOUS PERSON,315 S HUGHES ST,2022-04-15 23:10:22
SHOTS FIRED,3200 BANKHEAD DR,2022-04-15 23:06:34
DISTURBANCE WITH WEAPON JUST OCCURRED,9800 N RODNEY PARHAM RD,2022-04-15 23:01:15
ASSIST MEDICAL,1514 W CHARLES BUSSEY AVE,2022-04-15 22:58:36
LOUD MUSIC,11 LAMONT DR,2022-04-15 22:57:07
ASSIST PARTY,FAIR PARK BLVD / INTERSTATE 630,2022-04-15 22:56:36
LOUD MUSIC,4216 S BOWMAN RD,2022-04-15 22:54:16
BREAKING OR ENTERING AUTO,7777 SLOANE DR,2022-04-15 22:53:07
SHOTS FIRED,24 WINGATE DR,2022-04-15 22:40:48
LOITERING,11700 INTERSTATE 30,2022-04-15 22:36:19
CHECK CONDITION OF SUBJECT,6801 BASELINE RD,2022-04-15 22:34:38
DISTURBANCE IN PROGRESS,4810 TERRA VISTA CIR,2022-04-15 22:29:56
BATTERY,9601 BAPTIST HEALTH DR,2022-04-15 22:21:03
DISTURBANCE IN PROGRESS,1400 CUMBERLAND ST,2022-04-15 22:17:41
CHECK CONDITION OF SUBJECT,5300 S UNIVERSITY AVE,2022-04-15 22:10:32
CHECK CONDITION OF SUBJECT,2001 BROWN ST,2022-04-15 22:08:40
SHOTS FIRED,1500 S JACKSON ST,2022-04-15 22:07:09
STANDBY TO PREVENT DISTURBANCE,11925 SARDIS RD,2022-04-15 22:03:20
DISTURBANCE WITH WEAPON,5 NORTH LN,2022-04-15 21:59:52
NARCOTICS LAW VIOLATIONS,13500 CHENAL PKY,2022-04-15 21:55:41
SUSPICIOUS PERSON,1601 MAIN ST,2022-04-15 21:50:18
BURGLAR ALARM,1600 S ELM ST,2022-04-15 21:46:50
POLICE - SUBJECT DOWN,925 FAIR PARK BLVD,2022-04-15 21:45:06
SUSPICIOUS PERSON,7724 GEYER SPRINGS RD,2022-04-15 21:35:19
STANDBY TO PREVENT DISTURBANCE,74 KINGSPARK RD,2022-04-15 21:30:27
FIGHT IN PROGRESS,1912 GREEN MOUNTAIN DR,2022-04-15 21:25:56
SUSPICIOUS PERSON,1810 RICE ST,2022-04-15 21:25:07
DISTURBANCE IN PROGRESS,7501 INTERSTATE 30,2022-04-15 21:21:03
BURGLARY IN PROGRESS,1118 W 35TH ST,2022-04-15 21:19:01
BATTERY JUST OCCURRED,11701 MARA LYNN RD,2022-04-15 21:08:39
DISTURBANCE IN PROGRESS,13200 CHENAL PKY,2022-04-15 21:04:39
TRAFFIC VIOLATION,SIBLEY HOLE RD / NASH LN,2022-04-15 21:03:54
BURGLARY,4907 IVES RD,2022-04-15 21:02:34
CHECK CONDITION OF SUBJECT,1201 S WOODROW ST,2022-04-15 21:02:25
DISTURBANCE IN PROGRESS,1624 BROADWAY ST,2022-04-15 21:01:14
ACCIDENT,W 13TH ST / PEYTON ST,2022-04-15 20:56:35
ACCIDENT PEDESTRIAN,14000 CANTRELL RD,2022-04-15 20:51:53
BATTERY JUST OCCURRED,16800 CHENAL PKY,2022-04-15 20:39:15
DISTURBANCE WITH WEAPON IN PROGRESS,W 12TH ST / PEYTON ST,2022-04-15 20:36:07
FOUND PROPERTY,8415 W MARKHAM ST,2022-04-15 20:33:51
STANDBY TO PREVENT DISTURBANCE,4902 DERRICK ST,2022-04-15 20:32:18
TOW CITY VEHICLE TOWS,6401 BASELINE RD,2022-04-15 20:28:22
DISTURBANCE IN PROGRESS,11701 W MARKHAM ST,2022-04-15 20:20:28
DISTURBANCE IN PROGRESS,7200 W 12TH ST,2022-04-15 20:17:39
BATTERY JUST OCCURRED,5511 A ST,2022-04-15 20:15:47
STANDBY TO PREVENT DISTURBANCE,9000(9014) BLK WOODFORD DR,2022-04-15 20:10:59
BATTERY,8001 INTERSTATE 30,2022-04-15 20:09:48
RESIDENTIAL ALARM,12212 HEINKE RD,2022-04-15 20:03:48
BREAKING OR ENTERING AUTO JUST OCCURRED,5813 KAVANAUGH BLVD,2022-04-15 20:02:30
ACCIDENT INJURIES,MABELVALE CTF / CHICOT RD,2022-04-15 20:00:20
ASSIST MEDICAL,14504 CECIL DR,2022-04-15 19:59:06
CUTTING IN PROGRESS,W 12TH ST / PEYTON ST,2022-04-15 19:53:13
RESIDENTIAL ALARM,3 WATERS EDGE DR,2022-04-15 19:48:52
BURGLAR ALARM,3200 BROWN ST,2022-04-15 19:48:26
DISTURBANCE IN PROGRESS,9203 CHICOT RD,2022-04-15 19:43:10
ACCIDENT,5900 REBSAMEN PARK RD,2022-04-15 19:41:48
DISTURBANCE IN PROGRESS,301 N SHACKLEFORD RD,2022-04-15 19:39:12
INFORMATION REPORT,1720 S UNIVERSITY AVE,2022-04-15 19:39:04
CRIMINAL TRESPASS IN PROGRESS,2101 RAHLING RD,2022-04-15 19:38:32
SUSPICIOUS PERSON,9525 INTERSTATE 30,2022-04-15 19:38:09
BATTERY,14307 PRIDE VALLEY DR,2022-04-15 19:37:10
SHOTS FIRED,3101 BOYLE PARK RD,2022-04-15 19:35:32
CRIMINAL MISCHIEF JUST OCCURRED,1304 W ROOSEVELT RD,2022-04-15 19:34:17
ASSIST MEDICAL,3710 S UNIVERSITY AVE,2022-04-15 19:31:59
VEHICLE STALLED VEHICLE,KANIS RD / GAMBLE RD,2022-04-15 19:27:02
SHOTS FIRED,2501 JOHN BARROW RD,2022-04-15 19:19:38
SHOTS FIRED,2700 LEHIGH DR,2022-04-15 19:19:26
DISTURBANCE IN PROGRESS,617 BROADWAY ST,2022-04-15 19:15:44
INDECENT EXPOSURE,2010 S UNIVERSITY AVE,2022-04-15 19:15:01
CHECK CONDITION OF SUBJECT,3117 W 7TH ST,2022-04-15 19:10:50
ASSIST MEDICAL,BRECKENRIDGE DR / CHARTERHOUSE RD,2022-04-15 19:10:25
ROBBERY OF BUSINESS JUST OCCURRED,3901 S UNIVERSITY AVE,2022-04-15 19:09:42
STANDBY TO PREVENT DISTURBANCE,13400 INTERSTATE 30,2022-04-15 19:08:13
RESIDENTIAL ALARM,214 N PALM ST,2022-04-15 19:07:07
INDECENT EXPOSURE,6201 COLONEL GLENN RD,2022-04-15 18:55:09
DISTURBANCE IN PROGRESS,11 BROOKVIEW DR,2022-04-15 18:53:29
RESIDENTIAL ALARM,72 BENTLEY CIR,2022-04-15 18:52:38
DISTURBANCE IN PROGRESS,7301 L ST,2022-04-15 18:51:03
