Call type,Location,Dispatch time
RESIDENTIAL ALARM,12212 HEINKE RD,2022-04-18 22:46:39
PROPERTY CHECK,4215 W 8TH ST,2022-04-18 22:45:00
DISTURBANCE IN PROGRESS,1100 BROOKSIDE DR,2022-04-18 22:43:29
UNKNOWN,42 BALTIMORE ST,2022-04-18 22:40:10
ACCIDENT HIT and RUN,9704 WILDERNESS RD,2022-04-18 22:38:44
CRIMINAL MISCHIEF JUST OCCURRED,1424 W ROOSEVELT RD,2022-04-18 22:38:31
DISTURBANCE IN PROGRESS,1901 WRIGHT AVE,2022-04-18 22:37:18
DISTURBANCE IN PROGRESS,3700 AMERICAN MANOR DR,2022-04-18 22:31:41
NARCOTICS LAW VIOLATIONS,2502 W 18TH ST,2022-04-18 22:24:12
THEFT JUST OCCURRED,617 BROADWAY ST,2022-04-18 22:23:22
CARAVAN,7401 WOODSON RD,2022-04-18 22:19:41
BURGLARY,420 MARKHAM MESA PL,2022-04-18 22:18:53
CHECK CONDITION OF SUBJECT,202 GILBERT DR,2022-04-18 22:18:03
STANDBY TO PREVENT DISTURBANCE,300 S BOWMAN RD,2022-04-18 22:16:38
SHOTS FIRED,2600 S RINGO ST,2022-04-18 22:16:29
BURGLAR ALARM,6000 LINDSEY RD,2022-04-18 22:09:29
BURGLAR ALARM,9125 STAGECOACH RD,2022-04-18 22:08:30
BATTERY IN PROGRESS,6520 TULIP RD,2022-04-18 22:07:52
UNKNOWN,6815 FORBING RD,2022-04-18 22:06:40
WANTED PERSON,10920 BRECKENRIDGE DR,2022-04-18 22:03:55
POLICE - SUICIDE,907 MELLON ST,2022-04-18 21:58:06
DISTURBANCE IN PROGRESS,10924 INTERSTATE 30,2022-04-18 21:49:56
SHOTS FIRED,10 SUN VALLEY RD,2022-04-18 21:39:37
UNKNOWN,22 DAVEN CT,2022-04-18 21:31:40
SHOTS FIRED,2 MARCELLA DR,2022-04-18 21:20:40
SHOTS FIRED,LAMARCHE BLVD / LAMARCHE LN,2022-04-18 21:08:41
CRIMINAL MISCHIEF IN PROGRESS,500 NAPA VALLEY DR,2022-04-18 21:06:24
DISTURBANCE IN PROGRESS,S UNIVERSITY AVE / FORBING RD,2022-04-18 21:01:44
CHECK CONDITION OF SUBJECT,7515 GEYER SPRINGS RD,2022-04-18 20:55:53
VEHICLE STALLED VEHICLE,W ROOSEVELT RD / S CHESTER ST,2022-04-18 20:52:16
ACCIDENT,8710 FOURCHE DAM PIKE,2022-04-18 20:51:56
ACCIDENT,820 BROADWAY ST,2022-04-18 20:51:07
PROPERTY CHECK,1602 GREEN MOUNTAIN DR,2022-04-18 20:48:01
DISTURBANCE IN PROGRESS,7005 GREENCREST DR,2022-04-18 20:47:20
DISTURBANCE IN PROGRESS,6420 COLONEL GLENN RD,2022-04-18 20:45:44
THEFT JUST OCCURRED,4514 W 12TH ST,2022-04-18 20:37:37
BATTERY JUST OCCURRED,22 DAVEN CT,2022-04-18 20:28:53
BURGLARY,4400 BOWERS ST,2022-04-18 20:27:51
DEATH,4728 SPRINGER BLVD,2022-04-18 20:26:52
TRAFFIC STOP,6310 MABELVALE CTF,2022-04-18 20:23:16
DISTURBANCE IN PROGRESS,714 W 16TH ST,2022-04-18 20:18:37
DISTURBANCE IN PROGRESS,4407 W 12TH ST,2022-04-18 20:17:56
ACCIDENT,FINANCIAL CENTRE PKY / HARDIN RD,2022-04-18 20:13:45
INFORMATION REPORT,RAHLING RD / CHENAL PKY,2022-04-18 20:12:49
CHECK CONDITION OF SUBJECT,7510 GEYER SPRINGS RD,2022-04-18 20:12:02
VEHICLE STALLED VEHICLE,MABLEVALE PIKE/ 49TH,2022-04-18 20:11:44
DISTURBANCE JUST OCCURRED,4824 TERRA VISTA CIR,2022-04-18 20:07:22
DISTURBANCE WITH WEAPON IN PROGRESS,11 RICHSMITH DR,2022-04-18 20:02:56
CRIMINAL TRESPASS IN PROGRESS,2624 BARBER ST,2022-04-18 20:01:56
ANIMAL VICIOUS ANIMAL,6023 FOURCHE DAM PIKE,2022-04-18 20:01:23
POLICE - TACTICAL RESCUE - JUMPER,7600 REBSAMEN PARK RD,2022-04-18 19:56:03
LOUD MUSIC,3801 BRUNO RD,2022-04-18 19:49:41
BURGLARY,7701 IMPALA DR,2022-04-18 19:49:13
SHOTS FIRED,W 22ND ST / LEWIS ST,2022-04-18 19:46:49
STANDBY TO PREVENT DISTURBANCE,10422 CHICOT RD,2022-04-18 19:45:30
RESIDENTIAL ALARM,21311 CHALAMONT DR,2022-04-18 19:45:17
BATTERY JUST OCCURRED,4811 TERRA VISTA CIR,2022-04-18 19:44:07
ASSIST MEDICAL,3801 W 8TH ST,2022-04-18 19:39:38
CRIMINAL MISCHIEF IN PROGRESS,1 WHITMORE CIR,2022-04-18 19:30:07
ACCIDENT,GEYER SPRINGS RD / INTERSTATE 30,2022-04-18 19:28:03
SUSPICIOUS PERSON,1624 BROADWAY ST,2022-04-18 19:24:51
ACCIDENT HIT and RUN,16001 CHENAL PKY,2022-04-18 19:23:14
SUSPICIOUS PERSON,AUTUMN RD / CHENAL PKY,2022-04-18 19:16:50
CRIMINAL TRESPASS IN PROGRESS,7515 GEYER SPRINGS RD,2022-04-18 19:11:10
SUSPICIOUS PERSON,3700 CEDAR HILL RD,2022-04-18 18:59:56
DISTURBANCE IN PROGRESS,11015 MARA LYNN RD,2022-04-18 18:56:06
CRIMINAL TRESPASS IN PROGRESS,9203 CHICOT RD,2022-04-18 18:54:26
CHECK CONDITION OF SUBJECT,APPROX LOC:4468 S UNIVERSITY AVE,2022-04-18 18:53:11
CHECK CONDITION OF SUBJECT,8818 KANIS RD,2022-04-18 18:50:47
SUSPICIOUS PERSON,10724 W MARKHAM ST,2022-04-18 18:49:54
UNKNOWN,1401 W CAPITOL AVE,2022-04-18 18:47:01
ACCIDENT INJURIES,S GAINES ST / W ROOSEVELT RD,2022-04-18 18:42:48
ACCIDENT,TAYLOR LOOP RD / CANTRELL RD,2022-04-18 18:27:28
BATTERY IN PROGRESS,4203 W 17TH ST,2022-04-18 18:24:28
INFORMATION REPORT,8524 BASELINE RD,2022-04-18 18:22:29
ANIMAL VICIOUS ANIMAL,115 BRONTE CIR,2022-04-18 18:19:41
STANDBY TO PREVENT DISTURBANCE,11401 MESA DR,2022-04-18 18:16:07
SUSPICIOUS PERSON,1801 TYNER RD,2022-04-18 18:15:37
ASSIST MEDICAL,2500 S GAINES ST,2022-04-18 18:12:40
VEHICLE ABANDONED VEHICLE,8110 W 24TH ST,2022-04-18 18:08:42
ACCIDENT,W 10TH ST / S LOUISIANA ST,2022-04-18 18:08:13
CHECK CONDITION OF SUBJECT,7007 LANGSTON LN,2022-04-18 18:04:06
STANDBY TO PREVENT DISTURBANCE,10000 MABELVALE WEST RD,2022-04-18 18:03:27
ACCIDENT,BROADWAY ST / W DAISY L GATSON BATES DR,2022-04-18 18:02:35
ASSIST OTHER AGENCY,4023 S SHACKLEFORD RD,2022-04-18 18:01:31
ASSIST OTHER AGENCY,12573 RIVERCREST DR,2022-04-18 17:55:25
PRISONER TRANSPORT,3917 W 12TH ST,2022-04-18 17:53:16
STANDBY TO PREVENT DISTURBANCE,15 BERKSHIRE DR,2022-04-18 17:49:11
BURGLAR ALARM,10800 OTTER CREEK EAST BLVD,2022-04-18 17:46:52
INFORMATION REPORT,5308 BASELINE RD,2022-04-18 17:46:45
DISTURBANCE JUST OCCURRED,7317 BASELINE RD,2022-04-18 17:46:20
BURGLARY IN PROGRESS,5211 PARK VILLAGE DR,2022-04-18 17:43:34
ACCIDENT,SAM PECK RD / PLEASANT FOREST DR,2022-04-18 17:41:02
CHECK CONDITION OF SUBJECT,S UNIVERSITY AVE / ASHER AVE,2022-04-18 17:40:29
DISTURBANCE IN PROGRESS,3802 KAVANAUGH BLVD,2022-04-18 17:39:49
DISTURBANCE JUST OCCURRED,1400 LEANDER DR,2022-04-18 17:30:01
BATTERY IN PROGRESS,1 GLENMERE DR,2022-04-18 17:27:51
THEFT IN PROGRESS,9101 AUXOR RD,2022-04-18 17:27:21
CRIMINAL TRESPASS IN PROGRESS,5023 BASELINE RD,2022-04-18 17:25:39
CHECK CONDITION OF SUBJECT,901 FAIR PARK BLVD,2022-04-18 17:15:28
CHECK CONDITION OF SUBJECT,CORPORATE HILL DR / W MARKHAM ST,2022-04-18 17:14:04
CHECK CONDITION OF SUBJECT,1512 S CEDAR ST,2022-04-18 17:11:53
