Call type,Location,Dispatch time
INFORMATION REPORT,BASELINE RD / FRONTAGE RD,2022-04-17 22:40:14
DISTURBANCE JUST OCCURRED,7507 BASELINE RD,2022-04-17 22:36:59
DISTURBANCE IN PROGRESS,6501 W 12TH ST,2022-04-17 22:33:22
SUSPICIOUS PERSON,62 DUCLAIR CT,2022-04-17 22:19:25
BURGLAR ALARM,1401 S UNIVERSITY AVE,2022-04-17 22:15:18
CRIMINAL TRESPASS IN PROGRESS,8 COLONEL GLENN PLAZA DR,2022-04-17 22:12:01
ACCIDENT,SARDIS RD / ALEXANDER RD,2022-04-17 22:09:49
DISTURBANCE IN PROGRESS,2110 CUMBERLAND ST,2022-04-17 21:57:08
ACCIDENT INJURIES,INTERSTATE 630 / FAIR PARK BLVD,2022-04-17 21:31:10
LOUD MUSIC,1311 S BOWMAN RD,2022-04-17 21:28:25
RESIDENTIAL ALARM,3321 S BOWMAN RD,2022-04-17 21:27:12
ACCIDENT,MABELVALE PIKE / GUM SPRINGS RD,2022-04-17 21:25:33
SUSPICIOUS PERSON,3200 MALLOY ST,2022-04-17 21:20:49
LOUD MUSIC,GLENDA DR / MONETTE DR,2022-04-17 21:15:50
DISTURBANCE JUST OCCURRED,10301 N RODNEY PARHAM RD,2022-04-17 21:12:38
SUSPICIOUS PERSON,16 GREATHOUSE BEND DR,2022-04-17 21:12:10
BREAKING OR ENTERING AUTO,805 W 24TH ST,2022-04-17 21:04:34
UNKNOWN,3900 BLUNT ST,2022-04-17 21:03:57
UNKNOWN,5620 S UNIVERSITY AVE,2022-04-17 20:58:15
UNKNOWN,3000 S RINGO ST,2022-04-17 20:57:02
ACCIDENT,13924 CANTRELL RD,2022-04-17 20:45:40
POLICE - SUBJECT DOWN,15501 CAPITOL HILL BLVD,2022-04-17 20:45:17
DISTURBANCE IN PROGRESS,2608 MAPLE ST,2022-04-17 20:41:15
SHOT SPOTTER ACTIVATION,2924 FAIR PARK BLVD,2022-04-17 20:39:08
DISTURBANCE WITH WEAPON IN PROGRESS,E 3RD ST / RIVER MARKET AVE,2022-04-17 20:37:30
DISTURBANCE IN PROGRESS,10434 W 36TH ST,2022-04-17 20:34:07
POLICE - SUBJECT DOWN,310 S SHACKLEFORD RD,2022-04-17 20:28:25
DISTURBANCE IN PROGRESS,4821 W 28TH ST,2022-04-17 20:27:28
SUSPICIOUS PERSON,3600 FOSTER ST,2022-04-17 20:24:14
SUSPICIOUS PERSON,3700 S UNIVERSITY AVE,2022-04-17 20:22:38
PRISONER TRANSPORT,3929 MCCAIN BLVD,2022-04-17 20:20:40
ASSIST MEDICAL,410 S UNIVERSITY AVE,2022-04-17 20:19:21
DISTURBANCE IN PROGRESS,24800 CHENAL PKY,2022-04-17 20:13:10
DISTURBANCE IN PROGRESS,3916 MALLOY ST,2022-04-17 20:10:01
RESIDENTIAL ALARM,2824 WALKER ST,2022-04-17 20:07:11
CHECK CONDITION OF SUBJECT,11121 N RODNEY PARHAM RD,2022-04-17 20:04:33
DISTURBANCE IN PROGRESS,1100 FAIR PARK BLVD,2022-04-17 19:59:56
RESIDENTIAL ALARM,3321 S BOWMAN RD,2022-04-17 19:59:40
ASSIST MEDICAL,RIVER MARKET AVE / PRESIDENT CLINTON AVE,2022-04-17 19:58:11
DISTURBANCE IN PROGRESS,1000 KIRBY RD,2022-04-17 19:54:11
DISTURBANCE IN PROGRESS,1807 CHAMPLIN DR,2022-04-17 19:49:07
DISTURBANCE IN PROGRESS,7301 WOODSON RD,2022-04-17 19:48:29
DISTURBANCE IN PROGRESS,4424 W MARKHAM ST,2022-04-17 19:42:13
VEHICLE DWOC,31 ROSEWOOD DR,2022-04-17 19:31:04
CRIMINAL TRESPASS IN PROGRESS,APPROX LOC:S UNIVERSITY AVE,2022-04-17 19:20:31
SHOPLIFTING,8801 BASELINE RD,2022-04-17 19:19:03
VEHICLE SUSPICIOUS VEHICLE,120 N TAYLOR ST,2022-04-17 19:18:28
