Call type,Location,Dispatch time
RESIDENTIAL ALARM,2200 RIVERFRONT DR,2022-04-13 11:09:41
UNKNOWN,3601 W ROOSEVELT RD,2022-04-13 11:06:42
ACCIDENT,1500 N SHACKLEFORD RD,2022-04-13 11:04:29
VEHICLE DWOC,7618 KANIS RD,2022-04-13 11:04:02
INFORMATION REPORT,1401 S UNIVERSITY AVE,2022-04-13 11:02:20
DISTURBANCE IN PROGRESS,8624 CHICOT RD,2022-04-13 10:58:57
SUSPICIOUS PERSON,12626 LAWSON RD,2022-04-13 10:57:04
BURGLAR ALARM,401 MAIN ST,2022-04-13 10:52:47
LOITERING,W 9TH ST / S GAINES ST,2022-04-13 10:51:49
DISTURBANCE IN PROGRESS,2300 REBSAMEN PARK RD,2022-04-13 10:44:02
STANDBY TO PREVENT DISTURBANCE,S SHACKLEFORD RD / OLD SHACKLEFORD RD,2022-04-13 10:42:29
BURGLAR ALARM,321 S VICTORY ST,2022-04-13 10:33:03
INFORMATION REPORT,10001 KANIS RD,2022-04-13 10:29:20
DISTURBANCE WITH WEAPON,N PIERCE ST / EVERGREEN DR,2022-04-13 10:27:53
ACCIDENT,1418 JOHN BARROW RD,2022-04-13 10:26:29
SHOTS FIRED,1600 S JACKSON ST,2022-04-13 10:25:45
CHECK CONDITION OF SUBJECT,6310 COLONEL GLENN RD,2022-04-13 10:21:35
THEFT JUST OCCURRED,207 N UNIVERSITY AVE,2022-04-13 10:20:06
CRIMINAL MISCHIEF JUST OCCURRED,1401 COLLEGE ST,2022-04-13 10:11:50
ROBBERY ALARM,4423 W 12TH ST,2022-04-13 10:03:10
CRIMINAL TRESPASS,1817 WASHINGTON ST,2022-04-13 10:00:45
BURGLAR ALARM,2600 S SHACKLEFORD RD,2022-04-13 09:58:32
SUSPICIOUS PERSON,4 BRADFORD CT,2022-04-13 09:53:38
BURGLAR ALARM,401 MAIN ST,2022-04-13 09:44:40
STANDBY TO PREVENT DISTURBANCE,500 NAPA VALLEY DR,2022-04-13 09:39:11
BURGLAR ALARM,3901 S UNIVERSITY AVE,2022-04-13 09:38:34
SUSPICIOUS PERSON,2124 S RINGO ST,2022-04-13 09:36:51
SHOT SPOTTER ACTIVATION,5103 W 22ND ST,2022-04-13 09:36:05
ASSIST MEDICAL,5001 W 65TH ST,2022-04-13 09:30:38
ACCIDENT,10301 N RODNEY PARHAM RD,2022-04-13 09:28:05
DISTURBANCE IN PROGRESS,7123 INTERSTATE 30,2022-04-13 09:27:31
DEATH,319 NORMANDY RD,2022-04-13 09:26:10
ACCIDENT,601 N UNIVERSITY AVE,2022-04-13 09:12:26
ROBBERY OF BUSINESS JUST OCCURRED,1001 W CAPITOL AVE,2022-04-13 09:09:41
BATTERY IN PROGRESS,100 S ROCK ST,2022-04-13 09:06:33
BURGLAR ALARM,11100 W MARKHAM ST,2022-04-13 09:06:11
RESIDENTIAL ALARM,8404 DOWAN DR,2022-04-13 09:02:19
VEHICLE STOLEN VEHICLE,WRIGHT AVE / DR MARTIN LUTHER KING DR,2022-04-13 09:01:34
ADMINISTRATIVE,3201 W ROOSEVELT RD,2022-04-13 08:56:11
SUSPICIOUS PERSON,720 S IZARD ST,2022-04-13 08:55:06
RESIDENTIAL ALARM,1701 WELLINGTON WOODS DR,2022-04-13 08:51:30
DISTURBANCE,E 9TH ST / SHALL AVE,2022-04-13 08:49:36
ACCIDENT,KAVANAUGH BLVD / RIDGEWAY DR,2022-04-13 08:47:45
RESIDENTIAL ALARM,5 OXEYE LN,2022-04-13 08:47:29
ACCIDENT,925 S UNIVERSITY AVE,2022-04-13 08:36:35
ACCIDENT,W 36TH ST / COLONEL GLENN RD,2022-04-13 08:32:38
BREAKING OR ENTERING AUTO,8710 TEDBURN DR,2022-04-13 08:31:02
DISTURBANCE IN PROGRESS,7900 INTERSTATE 30,2022-04-13 08:25:04
BURGLARY IN PROGRESS,3200 BASELINE RD,2022-04-13 08:19:33
BURGLAR ALARM,2600 S SHACKLEFORD RD,2022-04-13 08:11:37
BURGLAR ALARM,8507 W MARKHAM ST,2022-04-13 08:07:29
ROBBERY OF INDIVIDUAL,5300 ASHER AVE,2022-04-13 08:01:29
BURGLARY,10800 COLONEL GLENN RD,2022-04-13 08:00:23
BURGLAR ALARM,401 MAIN ST,2022-04-13 07:58:18
BURGLAR ALARM,2706 S SHACKLEFORD RD,2022-04-13 07:57:24
BURGLAR ALARM,14524 CANTRELL RD,2022-04-13 07:50:55
CRIMINAL TRESPASS IN PROGRESS,5322 ASHER AVE,2022-04-13 07:41:25
STANDBY TO PREVENT DISTURBANCE,1509 W DAISY L GATSON BATES DR,2022-04-13 07:34:30
VEHICLE SUSPICIOUS VEHICLE,720 S IZARD ST,2022-04-13 07:27:10
ANIMAL VICIOUS ANIMAL,1908 MICHAEL DR,2022-04-13 07:26:22
ASSIST MEDICAL,3224 DR MARTIN LUTHER KING DR,2022-04-13 07:20:28
VEHICLE SUSPICIOUS VEHICLE,3901 LUDWIG ST,2022-04-13 07:17:25
DISTURBANCE WITH WEAPON IN PROGRESS,7700 SCOTT HAMILTON DR,2022-04-13 07:15:33
RESIDENTIAL ALARM,2001 KAVANAUGH BLVD,2022-04-13 07:01:40
ASSIST MEDICAL,9525 INTERSTATE 30,2022-04-13 06:57:56
ACCIDENT INJURIES,S SHACKLEFORD RD / SHACKLEFORD WEST BLVD,2022-04-13 06:50:44
UNKNOWN,2606 S ROCK ST,2022-04-13 06:49:20
POLICE - SUBJECT DOWN,HOLLY SPRINGS BLVD / GEYER SPRINGS RD,2022-04-13 06:44:06
BATTERY JUST OCCURRED,1800 BROADWAY ST,2022-04-13 06:43:28
PROPERTY CHECK,27 CASCADES DR,2022-04-13 06:30:33
UNKNOWN,1009 ALLIS ST,2022-04-13 06:29:18
SHOTS FIRED,1500 S JACKSON ST,2022-04-13 06:02:33
ACCIDENT,10900 INTERSTATE 30,2022-04-13 05:59:21
THEFT,2401 W 65TH ST,2022-04-13 05:35:44
BURGLARY,11410 N RODNEY PARHAM RD,2022-04-13 05:34:44
STANDBY TO PREVENT DISTURBANCE,11 CROSSINGS CT,2022-04-13 05:20:38
UNKNOWN,1401 S UNIVERSITY AVE,2022-04-13 05:17:43
