Call type,Location,Dispatch time
CHECK CONDITION OF SUBJECT,1425 KAVANAUGH BLVD,2022-05-18 23:52:01
SUSPICIOUS PERSON,9 ENTERGY CT,2022-05-18 23:40:23
VEHICLE,10611 WOODMAN ST,2022-05-18 23:38:04
SUSPICIOUS PERSON,10720 KANIS RD,2022-05-18 23:29:31
INFORMATION REPORT,311 E 8TH ST,2022-05-18 23:28:12
TERRORISTIC THREATENING,14000 KANIS RD,2022-05-18 23:27:25
ACCIDENT,8108 GEYER SPRINGS RD,2022-05-18 23:26:29
ANIMAL VICIOUS ANIMAL,W 28TH ST / BAY ST,2022-05-18 23:24:04
PROPERTY CHECK,5001 W 65TH ST,2022-05-18 23:23:28
PROPERTY CHECK,306 MARKHAM CENTER DR,2022-05-18 23:20:32
BATTERY JUST OCCURRED,10201 N RODNEY PARHAM RD,2022-05-18 23:19:46
PROPERTY CHECK,4724 KENYON ST,2022-05-18 23:16:41
LOUD MUSIC,ABIGAIL ST / W 27TH ST,2022-05-18 23:16:16
DISTURBANCE IN PROGRESS,5620 S UNIVERSITY AVE,2022-05-18 23:15:38
ASSIST MEDICAL,400 PRESIDENT CLINTON AVE,2022-05-18 23:14:56
BURGLAR ALARM,1024 S SCOTT ST,2022-05-18 23:09:59
STANDBY TO PREVENT DISTURBANCE,5 PINE BREEZE CV,2022-05-18 23:02:35
STANDBY TO PREVENT DISTURBANCE,11701 MARA LYNN RD,2022-05-18 23:01:46
ASSIST MEDICAL,925 FAIR PARK BLVD,2022-05-18 23:00:37
DISTURBANCE WITH WEAPON IN PROGRESS,5813 BASELINE RD,2022-05-18 22:59:24
PROPERTY CHECK,1424 DR MARTIN LUTHER KING DR,2022-05-18 22:56:31
DISTURBANCE IN PROGRESS,10105 INTERSTATE 30,2022-05-18 22:54:41
DISTURBANCE IN PROGRESS,4103 W 21ST ST,2022-05-18 22:48:01
SHOTS FIRED,6200 COLONEL GLENN RD,2022-05-18 22:44:17
BURGLARY IN PROGRESS,2824 W 12TH ST,2022-05-18 22:40:07
CHECK CONDITION OF SUBJECT,8921 FOURCHE DAM PIKE,2022-05-18 22:37:04
LOUD MUSIC,14 BELMAR DR,2022-05-18 22:35:51
DISTURBANCE IN PROGRESS,1601 N SHACKLEFORD RD,2022-05-18 22:34:09
DISTURBANCE IN PROGRESS,716 E 9TH ST,2022-05-18 22:32:26
BURGLAR ALARM,11401 CANTRELL RD,2022-05-18 22:31:23
SUSPICIOUS PERSON,2123 LABETTE MANOR DR,2022-05-18 22:29:54
LOUD MUSIC,5901 DREHER LN,2022-05-18 22:17:43
DISTURBANCE IN PROGRESS,9908 TREASURE HILL RD,2022-05-18 22:07:54
SUSPICIOUS PERSON,6906 LUCERNE DR,2022-05-18 22:06:37
DISTURBANCE,4710 SAM PECK RD,2022-05-18 22:02:34
LOITERING,315 S HUGHES ST,2022-05-18 22:02:17
SUSPICIOUS PERSON,5716 YOUNG RD,2022-05-18 22:01:26
THEFT IN PROGRESS,3901 W MARKHAM ST,2022-05-18 21:53:36
DISTURBANCE IN PROGRESS,2214 S TAYLOR ST,2022-05-18 21:50:52
STANDBY TO PREVENT DISTURBANCE,9024 COLONEL GLENN RD,2022-05-18 21:33:01
INDECENT EXPOSURE,J ST / KAVANAUGH BLVD,2022-05-18 21:31:20
DISTURBANCE IN PROGRESS,11500 CHICOT RD,2022-05-18 21:29:45
SHOTS FIRED,CHICOT RD / KNOLLWOOD RD,2022-05-18 21:17:39
BURGLAR ALARM,2 FREEWAY DR,2022-05-18 21:15:28
SUSPICIOUS PERSON,311 E 8TH ST,2022-05-18 21:13:50
UNKNOWN,3510 S BRYANT ST,2022-05-18 21:10:59
BATTERY JUST OCCURRED,2021 MAIN ST,2022-05-18 21:09:01
DISTURBANCE IN PROGRESS,6211 COLONEL GLENN RD,2022-05-18 20:57:47
POLICE - SUBJECT DOWN,3901 S UNIVERSITY AVE,2022-05-18 20:56:44
CHECK CONDITION OF SUBJECT,8824 GEYER SPRINGS RD,2022-05-18 20:55:09
DISTURBANCE WITH WEAPON JUST OCCURRED,1810 RICE ST,2022-05-18 20:52:23
ASSIST MEDICAL,617 BROADWAY ST,2022-05-18 20:49:03
LOUD MUSIC,5901 DREHER LN,2022-05-18 20:43:47
SUSPICIOUS PERSON,11500 W MARKHAM ST,2022-05-18 20:43:13
SUSPICIOUS PERSON,30 VARENNES CT,2022-05-18 20:36:54
DISTURBANCE IN PROGRESS,322 MAIN ST,2022-05-18 20:35:16
VEHICLE STALLED VEHICLE,504 GREEN MOUNTAIN DR,2022-05-18 20:31:01
ACCIDENT INJURIES,11510 MABELVALE WEST RD,2022-05-18 20:23:12
CHECK CONDITION OF SUBJECT,N UNIVERSITY AVE / EVERGREEN DR,2022-05-18 20:22:30
SUSPICIOUS PERSON,1601 N SHACKLEFORD RD,2022-05-18 20:20:52
INFORMATION REPORT,10915 MARA LYNN RD,2022-05-18 20:14:48
RESIDENTIAL ALARM,9024 COLONEL GLENN RD,2022-05-18 20:12:31
INDECENT EXPOSURE,3623 BASELINE RD,2022-05-18 20:12:01
SUSPICIOUS PERSON,W 17TH ST / CENTER ST,2022-05-18 20:10:24
DISTURBANCE IN PROGRESS,301 S UNIVERSITY AVE,2022-05-18 20:09:53
ASSIST MEDICAL,1721 S CEDAR ST,2022-05-18 20:06:48
DISTURBANCE IN PROGRESS,1602 GREEN MOUNTAIN DR,2022-05-18 20:04:36
BURGLAR ALARM,2 FREEWAY DR,2022-05-18 19:59:10
ACCIDENT,BASELINE RD / CLOVERDALE DR,2022-05-18 19:58:08
CRIMINAL MISCHIEF JUST OCCURRED,11221 LEGION HUT RD,2022-05-18 19:57:37
ACCIDENT,BASELINE RD / LEW DR,2022-05-18 19:57:20
UNKNOWN,4710 SAM PECK RD,2022-05-18 19:49:08
DISTURBANCE IN PROGRESS,8118 STANTON RD,2022-05-18 19:46:49
DISTURBANCE IN PROGRESS,22 BURKWOOD DR,2022-05-18 19:42:57
DISTURBANCE JUST OCCURRED,201 E MARKHAM ST,2022-05-18 19:36:39
BURGLAR ALARM,1616 BROOKWOOD DR,2022-05-18 19:34:30
THEFT,8201 STANTON RD,2022-05-18 19:33:04
INFORMATION REPORT,13501 OTTER CREEK PKY,2022-05-18 19:26:06
STANDBY TO PREVENT DISTURBANCE,7 HONEY BEAR CT,2022-05-18 19:25:21
VEHICLE STALLED VEHICLE,9001 W MARKHAM ST,2022-05-18 19:22:36
DISTURBANCE IN PROGRESS,1601 MAIN ST,2022-05-18 19:21:20
DISTURBANCE IN PROGRESS,4920 BASELINE RD,2022-05-18 19:20:48
VEHICLE STOLEN VEHICLE,6401 BASELINE RD,2022-05-18 19:16:40
BURGLARY,5805 W 56TH ST,2022-05-18 19:14:08
ACCIDENT,N RODNEY PARHAM RD / INTERSTATE 430,2022-05-18 19:13:14
THEFT JUST OCCURRED,5501 FOURCHE DAM PIKE,2022-05-18 19:12:24
ROBBERY OF INDIVIDUAL JUST OCCURRED,8415 W MARKHAM ST,2022-05-18 19:09:45
NARCOTICS LAW VIOLATIONS,1210 GEYER ST,2022-05-18 19:03:55
DISTURBANCE IN PROGRESS,9412 CERELLE DR,2022-05-18 19:02:26
CHECK CONDITION OF SUBJECT,9500 S HEIGHTS RD,2022-05-18 19:00:06
PROPERTY CHECK,1616 N BRYANT ST,2022-05-18 18:53:11
RESIDENTIAL ALARM,52 RIVER RIDGE RD,2022-05-18 18:52:04
DISTURBANCE IN PROGRESS,2506 S HARRISON ST,2022-05-18 18:50:51
THEFT,1 COLONEL GLENN PLAZA DR,2022-05-18 18:48:01
RESIDENTIAL ALARM,5600 WINDAMERE DR,2022-05-18 18:43:58
VEHICLE STALLED VEHICLE,N CHESTER ST / W LAHARPE BLVD,2022-05-18 18:34:36
CRIMINAL MISCHIEF,1109 COLLEGE ST,2022-05-18 18:31:41
DISTURBANCE IN PROGRESS,6310 COLONEL GLENN RD,2022-05-18 18:29:19
DISTURBANCE WITH WEAPON IN PROGRESS,W 26TH ST / S CROSS ST,2022-05-18 18:27:58
BURGLAR ALARM,1601 REBSAMEN PARK RD,2022-05-18 18:22:05
RESIDENTIAL ALARM,1515 BRECKENRIDGE DR,2022-05-18 18:20:58
VEHICLE BLOCKED DRIVE / ALLEY,9609 HERNDON RD,2022-05-18 18:19:00
ACCIDENT,LONGCOY ST / W 32ND ST,2022-05-18 18:13:37
STANDBY TO PREVENT DISTURBANCE,3917 W 12TH ST,2022-05-18 18:09:48
ASSIST MEDICAL,2 HARRIS CIR,2022-05-18 18:07:55
CHECK CONDITION OF SUBJECT,12700 CHENAL PKY,2022-05-18 18:05:19
BURGLARY,58 AVIGNON CT,2022-05-18 18:04:25
DISTURBANCE IN PROGRESS,3704 ASHER AVE,2022-05-18 18:03:43
SUSPICIOUS PERSON,GRACE RD / MABELVALE PIKE,2022-05-18 18:01:22
