Call type,Location,Dispatch time
BURGLAR ALARM,7700 BASELINE RD,2022-04-19 22:33:42
SUSPICIOUS PERSON,4610 GUM SPRINGS RD,2022-04-19 22:26:23
DISTURBANCE IN PROGRESS,701 GREEN MOUNTAIN DR,2022-04-19 22:24:48
BURGLARY IN PROGRESS PREMISES OCCUPIED,5920 HAWTHORNE RD,2022-04-19 22:21:51
POLICE - SUBJECT DOWN,4111 S UNIVERSITY AVE,2022-04-19 22:21:01
DISTURBANCE IN PROGRESS,5 TOREY PINES CT,2022-04-19 22:17:33
THEFT JUST OCCURRED,111 N BOWMAN RD,2022-04-19 22:15:57
UNKNOWN,2720 JEFFERSON ST,2022-04-19 22:13:27
RESIDENTIAL ALARM,2705 S MONROE ST,2022-04-19 22:12:04
SHOTS FIRED,1500 S JACKSON ST,2022-04-19 22:10:05
UNKNOWN,5511 BASELINE RD,2022-04-19 22:01:28
DISTURBANCE IN PROGRESS,2708 S GAINES ST,2022-04-19 21:56:44
UNKNOWN,5000 S ARCH ST,2022-04-19 21:53:28
RESIDENTIAL ALARM,2705 S MONROE ST,2022-04-19 21:51:24
SHOT SPOTTER ACTIVATION,1005 S MONROE ST,2022-04-19 21:49:38
BURGLAR ALARM,7700 BASELINE RD,2022-04-19 21:45:21
DISTURBANCE IN PROGRESS,600 HARDIN RD,2022-04-19 21:43:11
DISTURBANCE IN PROGRESS,4019 PINE CONE DR,2022-04-19 21:39:07
ACCIDENT HIT and RUN,W 53RD ST / S UNIVERSITY AVE,2022-04-19 21:37:30
CHECK CONDITION OF SUBJECT,2310 RIDGE PARK DR,2022-04-19 21:34:36
STANDBY TO PREVENT DISTURBANCE,9100 COLONEL GLENN RD,2022-04-19 21:33:46
DISTURBANCE IN PROGRESS,4211 W 19TH ST,2022-04-19 21:31:18
PROPERTY CHECK,5001 W 65TH ST,2022-04-19 21:27:14
STANDBY TO PREVENT DISTURBANCE,3824 STANNUS ST,2022-04-19 21:25:20
DISTURBANCE IN PROGRESS,400 N UNIVERSITY AVE,2022-04-19 21:21:24
FIGHT IN PROGRESS,35 ROSEMOOR DR,2022-04-19 21:20:22
POLICE - SUBJECT DOWN,4100 W MARKHAM ST,2022-04-19 21:19:05
DISTURBANCE IN PROGRESS,4107 SAM PECK RD,2022-04-19 21:14:00
DISTURBANCE IN PROGRESS,5301 ASHER AVE,2022-04-19 21:02:22
BURGLAR ALARM,400 NATURAL RESOURCES DR,2022-04-19 20:58:27
POLICE - OVERDOSE,302 E ROOSEVELT RD,2022-04-19 20:50:30
CHECK CONDITION OF SUBJECT,5 SHEFFIELD DR,2022-04-19 20:48:47
