Call type,Location,Dispatch time
CHECK CONDITION OF SUBJECT,5001 W 65TH ST,2022-05-19 23:42:55
TRAFFIC VIOLATION,SCOTT HAMILTON DR / ELECTRIC AVE,2022-05-19 23:40:01
CHECK CONDITION OF SUBJECT,515 BROOKSIDE DR,2022-05-19 23:38:05
NARCOTICS LAW VIOLATIONS,1 CHILDRENS WAY,2022-05-19 23:37:12
ACCIDENT INJURIES,3801 W 8TH ST,2022-05-19 23:36:57
ACCIDENT W/INJURY and ENTRAPMENT,N SHACKLEFORD RD / W MARKHAM ST,2022-05-19 23:31:38
BREAKING OR ENTERING AUTO,6804 COLONEL GLENN RD,2022-05-19 23:31:22
BURGLAR ALARM,7414 LANCASTER RD,2022-05-19 23:30:30
BATTERY JUST OCCURRED,815 N SPRUCE ST,2022-05-19 23:29:24
DISTURBANCE IN PROGRESS,5 BARWOOD CIR,2022-05-19 23:25:46
DISTURBANCE IN PROGRESS,3221 ASHER AVE,2022-05-19 23:25:14
DISTURBANCE IN PROGRESS,2624 S SHACKLEFORD RD,2022-05-19 23:24:51
DISTURBANCE IN PROGRESS,17 ROSEMUNN DR,2022-05-19 23:23:11
UNKNOWN,5904 LYNDELL DR,2022-05-19 23:22:04
DISTURBANCE IN PROGRESS,43 WARREN DR,2022-05-19 23:20:16
INFORMATION REPORT,W 14TH ST / FAIR PARK BLVD,2022-05-19 23:19:04
BURGLAR ALARM,11500 FAIRVIEW RD,2022-05-19 23:15:44
SUSPICIOUS PERSON,2123 LABETTE MANOR DR,2022-05-19 23:12:25
CHECK CONDITION OF SUBJECT,7819 LASSIE LN,2022-05-19 23:11:52
INFORMATION REPORT,FAIR PARK BLVD / ZOO DR,2022-05-19 23:07:25
BREAKING OR ENTERING AUTO,6201 MABELVALE CTF,2022-05-19 23:06:40
SUSPICIOUS PERSON,2416 S SCHILLER ST,2022-05-19 23:03:31
CHECK CONDITION OF SUBJECT,500 W MARKHAM ST / 2 N BROADWAY ST,2022-05-19 23:02:57
BATTERY JUST OCCURRED,2703 S HARRISON ST,2022-05-19 22:59:41
SUSPICIOUS PERSON,4610 GUM SPRINGS RD,2022-05-19 22:57:51
LOUD MUSIC,11401 MESA DR,2022-05-19 22:57:07
BURGLAR ALARM,15510 CHENAL PKY,2022-05-19 22:51:18
ASSIST OTHER AGENCY,138 HICKORY CREEK CIR,2022-05-19 22:46:33
INFORMATION REPORT,INTERSTATE 30 / INTERSTATE 430,2022-05-19 22:46:13
DISTURBANCE IN PROGRESS,110 JOHNSON ST,2022-05-19 22:44:22
SUSPICIOUS PERSON,47 ACCADIA CT,2022-05-19 22:37:07
BURGLAR ALARM,4301 PRATT REMMEL RD,2022-05-19 22:36:22
DISTURBANCE IN PROGRESS,1800 BROADWAY ST,2022-05-19 22:32:52
SUSPICIOUS PERSON,6802 W 34TH ST,2022-05-19 22:27:08
BATTERY JUST OCCURRED,11 DURHAM DR,2022-05-19 22:26:37
THEFT IN PROGRESS,10402 MABELVALE PIKE,2022-05-19 22:24:08
BATTERY JUST OCCURRED,8300 STAGECOACH RD,2022-05-19 22:19:32
SHOTS FIRED,S WOODROW ST / W 7TH ST,2022-05-19 22:14:51
ACCIDENT HIT and RUN,N RODNEY PARHAM RD / RESERVOIR RD,2022-05-19 22:13:17
BURGLAR ALARM,6100 LEON CIR,2022-05-19 22:11:36
DISTURBANCE JUST OCCURRED,8724 STANTON RD,2022-05-19 22:10:42
SHOT SPOTTER ACTIVATION,5520 W 29TH ST,2022-05-19 22:09:33
RESIDENTIAL ALARM,13004 CRABAPPLE PL,2022-05-19 22:02:45
SHOTS FIRED,6501 W 32ND ST,2022-05-19 21:39:31
CRIMINAL TRESPASS IN PROGRESS,5700 W 57TH ST,2022-05-19 21:28:45
ACCIDENT,2100 REBSAMEN PARK RD,2022-05-19 21:24:56
CHECK CONDITION OF SUBJECT,6000 W MARKHAM ST,2022-05-19 21:21:30
BATTERY WITH WEAPON,2415 BROADWAY ST,2022-05-19 21:15:36
WANTED PERSON,6425 S UNIVERSITY AVE,2022-05-19 21:13:08
LOITERING,716 E 9TH ST,2022-05-19 21:11:56
CHECK CONDITION OF SUBJECT,5705 SOUTHWICK DR,2022-05-19 21:11:14
VEHICLE DWOC,1506 MAPLE ST,2022-05-19 21:05:38
PROPERTY CHECK,S HARRISON ST / W 28TH ST,2022-05-19 21:02:07
PROPERTY CHECK,TULANE AVE / GRAND AVE,2022-05-19 21:01:53
BATTERY IN PROGRESS,2315 S OAK ST,2022-05-19 20:58:40
CRIMINAL TRESPASS IN PROGRESS,3505 WYNNE ST,2022-05-19 20:56:11
PROPERTY CHECK,3200 BANKHEAD DR,2022-05-19 20:54:49
CRIMINAL MISCHIEF,18 COLONEL GLENN PLAZA DR,2022-05-19 20:42:53
ACCIDENT HIT and RUN,10724 W MARKHAM ST,2022-05-19 20:42:02
THEFT JUST OCCURRED,16105 CHENAL PKY,2022-05-19 20:41:22
PROPERTY CHECK,5 JECK CT,2022-05-19 20:40:40
VEHICLE STALLED VEHICLE,WESTMINISTER DR / LANCASTER RD,2022-05-19 20:37:06
INFORMATION REPORT,3917 W 12TH ST,2022-05-19 20:31:25
PROPERTY CHECK,9104 MALABRI DR,2022-05-19 20:30:56
DISTURBANCE IN PROGRESS,1224 GEYER ST,2022-05-19 20:25:04
CHECK CONDITION OF SUBJECT,1425 KAVANAUGH BLVD,2022-05-19 20:23:59
BATTERY IN PROGRESS,W 10TH ST / ABIGAIL ST,2022-05-19 20:23:32
SUSPICIOUS PERSON,24 WESTFIELD CIR,2022-05-19 20:21:50
UNKNOWN,FOURCHE DAM PIKE / RICHLAND DR,2022-05-19 20:18:41
DISTURBANCE WITH WEAPON IN PROGRESS,6200 COLONEL GLENN RD,2022-05-19 20:08:28
ACCIDENT INJURIES,COLONEL GLENN RD / W 36TH ST,2022-05-19 20:02:17
PROPERTY CHECK,1616 N BRYANT ST,2022-05-19 20:01:50
DISTURBANCE IN PROGRESS,420 NAPA VALLEY DR,2022-05-19 19:57:27
POLICE - OVERDOSE,6201 COLONEL GLENN RD,2022-05-19 19:55:41
THEFT JUST OCCURRED,207 N UNIVERSITY AVE,2022-05-19 19:52:10
DISTURBANCE IN PROGRESS,1024 N ARTHUR ST,2022-05-19 19:51:36
PARKING VIOLATION,SHERMAN ST / E 7TH ST,2022-05-19 19:44:17
DISTURBANCE WITH WEAPON JUST OCCURRED,10402 STAGECOACH RD,2022-05-19 19:42:41
SHOTS FIRED,W 20TH ST / NICHOLS RD,2022-05-19 19:38:16
ASSIST OTHER AGENCY,27 CRYSTALWOOD DR,2022-05-19 19:35:20
DISTURBANCE JUST OCCURRED,2000 RESERVOIR RD,2022-05-19 19:34:38
ACCIDENT,W MARKHAM ST / BROADWAY ST,2022-05-19 19:30:17
CRIMINAL TRESPASS IN PROGRESS,7124 W MARKHAM ST,2022-05-19 19:25:52
CHECK CONDITION OF SUBJECT,E 16TH ST / S SCOTT ST,2022-05-19 19:24:13
CHECK CONDITION OF SUBJECT,3021 CANTRELL RD,2022-05-19 19:23:57
SUSPICIOUS PERSON,2124 LABETTE MANOR DR,2022-05-19 19:22:13
LOUD MUSIC,1800 BROADWAY ST,2022-05-19 19:18:48
THEFT IN PROGRESS,8801 BASELINE RD,2022-05-19 19:17:29
CRIMINAL TRESPASS IN PROGRESS,2600 S SHACKLEFORD RD,2022-05-19 19:10:50
ASSIST MEDICAL,W 12TH ST / PEYTON ST,2022-05-19 19:09:06
BURGLAR ALARM,900 CENTER ST,2022-05-19 19:08:24
