Call type,Location,Dispatch time
ACCIDENT,W 36TH ST / WYNNE ST,2022-04-20 10:52:00
DISTURBANCE IN PROGRESS,8907 KANIS RD,2022-04-20 10:47:32
ASSIST MEDICAL,12500 W MARKHAM ST,2022-04-20 10:46:45
ASSIST MEDICAL,3000 SPRINGER BLVD,2022-04-20 10:44:53
DISTURBANCE IN PROGRESS,10117 INDEPENDENCE LN,2022-04-20 10:44:03
LOITERING,721 E 9TH ST,2022-04-20 10:38:25
LOITERING,11701 INTERSTATE 30,2022-04-20 10:37:54
THEFT JUST OCCURRED,1010 WOLFE ST,2022-04-20 10:29:26
ACCIDENT,1200 MAIN ST,2022-04-20 10:21:20
STANDBY TO PREVENT DISTURBANCE,5420 W 12TH ST,2022-04-20 10:00:15
BURGLARY,1400 LEANDER DR,2022-04-20 09:58:57
SHOT SPOTTER ACTIVATION,4310 W 22ND ST,2022-04-20 09:54:20
LOITERING,8 SHACKLEFORD PLZ,2022-04-20 09:53:41
BURGLAR ALARM,12211 W MARKHAM ST,2022-04-20 09:46:30
CRIMINAL TRESPASS,8419 BASELINE RD,2022-04-20 09:43:56
DISTURBANCE IN PROGRESS,7501 INTERSTATE 30,2022-04-20 09:42:14
UNKNOWN,2000 SANFORD DR,2022-04-20 09:34:34
BURGLAR ALARM,523 S LOUISIANA ST,2022-04-20 09:29:19
CHECK CONDITION OF SUBJECT,19111 CANTRELL RD,2022-04-20 09:27:40
TRAFFIC STOP,W 19TH ST / S PULASKI ST,2022-04-20 09:23:50
DISTURBANCE WITH WEAPON IN PROGRESS,200 W CAPITOL AVE,2022-04-20 09:21:27
RESIDENTIAL ALARM,19301 SUMMERSHADE DR,2022-04-20 09:09:58
TERRORISTIC THREATENING,700 MAIN ST,2022-04-20 09:03:35
STANDBY TO PREVENT DISTURBANCE,4407 W 12TH ST,2022-04-20 09:02:55
BURGLAR ALARM,6000 W MARKHAM ST,2022-04-20 09:01:30
ACCIDENT INJURIES,S UNIVERSITY AVE / W 65TH ST,2022-04-20 08:56:31
SUSPICIOUS PERSON,111 N BOWMAN RD,2022-04-20 08:55:39
UNKNOWN,10318 STAGECOACH RD,2022-04-20 08:49:55
ADMINISTRATIVE,3201 W ROOSEVELT RD,2022-04-20 08:40:44
ACCIDENT INJURIES,W 36TH ST / COLONEL GLENN RD,2022-04-20 08:39:31
BURGLAR ALARM,1203 S UNIVERSITY AVE,2022-04-20 08:38:57
RESIDENTIAL ALARM,19301 SUMMERSHADE DR,2022-04-20 08:36:35
ASSIST MEDICAL,19111 CANTRELL RD,2022-04-20 08:35:49
UNKNOWN,9024 VICTORIA DR,2022-04-20 08:25:58
DISTURBANCE WITH WEAPON JUST OCCURRED,320 W CAPITOL AVE,2022-04-20 08:23:54
LOITERING,1100 E ROOSEVELT RD,2022-04-20 08:19:20
DISTURBANCE IN PROGRESS,5420 W 12TH ST,2022-04-20 08:05:59
RESIDENTIAL ALARM,100 FALATA CIR,2022-04-20 08:05:14
BURGLAR ALARM,11900 VIMY RIDGE RD,2022-04-20 07:56:55
ACCIDENT,11115 DAVID O DODD RD,2022-04-20 07:56:06
CITIZEN CONTACT,322 S ROCK ST,2022-04-20 07:49:57
BURGLARY,6300 COLONEL GLENN RD,2022-04-20 07:45:40
INFORMATION REPORT,1108 N JACKSON ST,2022-04-20 07:43:24
DISTURBANCE IN PROGRESS,101 E MARKHAM ST,2022-04-20 07:42:37
