Call type,Location,Dispatch time
LOUD MUSIC,1805 S ARCH ST,2022-04-16 22:32:31
DISTURBANCE IN PROGRESS,11400 W MARKHAM ST,2022-04-16 22:29:55
BREAKING OR ENTERING AUTO,8806 WINSTON DR,2022-04-16 22:27:19
THEFT JUST OCCURRED,8801 BASELINE RD,2022-04-16 22:27:03
INFORMATION REPORT,N MISSISSIPPI ST / LEAWOOD BLVD,2022-04-16 22:22:54
LOITERING,8818 KANIS RD,2022-04-16 22:20:20
STANDBY TO PREVENT DISTURBANCE,23 ROSEMUNN DR,2022-04-16 22:17:42
ASSIST MEDICAL,S LOUISIANA ST / W 16TH ST,2022-04-16 22:16:30
SUSPICIOUS PERSON,9101 AUXOR RD,2022-04-16 22:14:20
CHECK CONDITION OF SUBJECT,2124 LABETTE MANOR DR,2022-04-16 22:06:43
CHECK CONDITION OF SUBJECT,6900 CANTRELL RD,2022-04-16 22:04:09
ACCIDENT HIT and RUN,8500 W MARKHAM ST,2022-04-16 22:01:54
ACCIDENT,BASELINE RD / CHICOT RD,2022-04-16 21:58:05
NARCOTICS LAW VIOLATIONS,1 JUSTICE CENTER DR,2022-04-16 21:54:09
DISTURBANCE IN PROGRESS,8801 BASELINE RD,2022-04-16 21:51:42
CHECK CONDITION OF SUBJECT,1605 PICKERING DR,2022-04-16 21:48:37
CRIMINAL MISCHIEF JUST OCCURRED,8304 ASCENSION RD,2022-04-16 21:40:19
SHOTS FIRED,1414 N SHACKLEFORD RD,2022-04-16 21:36:58
ROBBERY ALARM,4748 SPRINGER BLVD,2022-04-16 21:34:07
DISTURBANCE IN PROGRESS,1401 MAIN ST,2022-04-16 21:25:40
ACCIDENT W/INJURY and ENTRAPMENT,5601 S UNIVERSITY AVE,2022-04-16 21:24:50
DISTURBANCE IN PROGRESS,HINDMAN PARK WAY / MABELVALE PIKE,2022-04-16 21:21:59
BURGLAR ALARM,12300 CHENAL PKY,2022-04-16 21:21:47
DISTURBANCE IN PROGRESS,901 W 18TH ST,2022-04-16 21:20:11
SHOTS FIRED,ROSEMONT DR / WOODCLIFF CIR,2022-04-16 21:19:26
SUSPICIOUS PERSON,1400 OLD FORGE DR,2022-04-16 21:18:34
ASSIST MEDICAL,9125 INTERSTATE 30,2022-04-16 21:15:55
UNKNOWN,9763 SOUTHWEST DR,2022-04-16 21:10:29
LOUD MUSIC,4 LONDON CIR,2022-04-16 21:06:26
SHOT SPOTTER ACTIVATION,2600 S MONROE ST,2022-04-16 21:04:01
BURGLARY IN PROGRESS PREMISES OCCUPIED,2001 RESERVOIR RD,2022-04-16 21:02:32
CARAVAN,E 13TH ST / MAIN ST,2022-04-16 20:58:48
BURGLAR ALARM,10805 IRONTON CUTOFF RD,2022-04-16 20:58:08
VEHICLE DWOC,2104 S MONROE ST,2022-04-16 20:41:36
DISTURBANCE IN PROGRESS,14 CHELLE CV,2022-04-16 20:40:07
SHOTS FIRED,2700 S SHACKLEFORD RD,2022-04-16 20:36:38
BURGLARY,8118 W MARKHAM ST,2022-04-16 20:35:09
BATTERY,6900 SCOTT HAMILTON DR,2022-04-16 20:33:29
BATTERY IN PROGRESS,13009 CHERRY LAUREL DR,2022-04-16 20:27:38
CRIMINAL TRESPASS IN PROGRESS,6310 COLONEL GLENN RD,2022-04-16 20:21:26
SHOTS FIRED,3911 PATRICK HENRY DR,2022-04-16 20:19:12
DISTURBANCE IN PROGRESS,1401 MAIN ST,2022-04-16 20:16:34
ACCIDENT HIT and RUN,7315 GEYER SPRINGS RD,2022-04-16 19:57:35
DISTURBANCE IN PROGRESS,5813 BASELINE RD,2022-04-16 19:55:40
DISTURBANCE IN PROGRESS,109 BARTON ST,2022-04-16 19:52:35
THEFT JUST OCCURRED,2700 S SHACKLEFORD RD,2022-04-16 19:51:53
SUSPICIOUS PERSON,3600 W 65TH ST,2022-04-16 19:45:34
CHECK CONDITION OF SUBJECT,400 BROWN ST,2022-04-16 19:37:26
ASSIST MEDICAL,6000 W MARKHAM ST,2022-04-16 19:23:57
POLICE - SUBJECT DOWN,CHENAL PKY / S BOWMAN RD,2022-04-16 19:23:41
CHECK CONDITION OF SUBJECT,N BOWMAN RD / W MARKHAM ST,2022-04-16 19:21:48
UNKNOWN,6601 W 12TH ST,2022-04-16 19:19:59
THEFT JUST OCCURRED,1001 S BOWMAN RD,2022-04-16 19:19:44
LOUD MUSIC,W 25TH ST / DORCHESTER DR,2022-04-16 19:17:21
ADMINISTRATIVE,3201 W ROOSEVELT RD,2022-04-16 19:16:27
DISTURBANCE IN PROGRESS,2817 W CAPITOL AVE,2022-04-16 19:12:19
DISTURBANCE WITH WEAPON IN PROGRESS,8701 INTERSTATE 30,2022-04-16 19:10:07
VEHICLE STOLEN VEHICLE,1619 WELCH ST,2022-04-16 19:05:30
CHECK CONDITION OF SUBJECT,7415 GEYER SPRINGS RD,2022-04-16 19:02:04
ASSIST MEDICAL,13901 QUAIL RUN DR,2022-04-16 18:54:38
BURGLAR ALARM,8720 INTERSTATE 30,2022-04-16 18:42:55
LOITERING,2608 MAPLE ST,2022-04-16 18:38:34
PROSTITUTION,E 10TH ST / S SCOTT ST,2022-04-16 18:35:16
BATTERY JUST OCCURRED,6510 MABELVALE CTF,2022-04-16 18:28:52
BATTERY JUST OCCURRED,2220 WALKER ST,2022-04-16 18:28:02
ACCIDENT,PLEASANT RIDGE RD / CANTRELL RD,2022-04-16 18:24:17
SHOTS FIRED,32 ROSEWOOD DR,2022-04-16 18:23:12
SUBJECT STOP,W 4TH ST / S VICTORY ST,2022-04-16 18:20:00
LOUD MUSIC,1421 N UNIVERSITY AVE,2022-04-16 18:12:53
CHECK CONDITION OF SUBJECT,W MARKHAM ST / WOODLANE ST,2022-04-16 18:12:21
DISTURBANCE JUST OCCURRED,1500 JOHN BARROW RD,2022-04-16 18:01:58
SHOPLIFTING,2700 S SHACKLEFORD RD,2022-04-16 17:54:22
DISTURBANCE IN PROGRESS,W MARKHAM ST / FAIR PARK BLVD,2022-04-16 17:48:44
ASSIST MEDICAL,4301 W MARKHAM ST,2022-04-16 17:36:45
DISTURBANCE IN PROGRESS,222 W 23RD ST,2022-04-16 17:29:13
BURGLARY,4516 W 27TH ST,2022-04-16 17:28:34
BURGLARY,1709 S GAINES ST,2022-04-16 17:25:35
SHOTS FIRED,1701 N BRYANT ST,2022-04-16 17:15:23
SUSPICIOUS PERSON,7224 KNOLLWOOD RD,2022-04-16 17:13:34
THEFT IN PROGRESS,2700 S SHACKLEFORD RD,2022-04-16 17:12:16
BURGLAR ALARM,1 COVENANT DR,2022-04-16 17:07:21
LOUD MUSIC,6510 MABELVALE CTF,2022-04-16 17:05:21
POLICE - SUBJECT DOWN,3901 W MARKHAM ST,2022-04-16 16:53:02
